game_label,n_agents,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,2,amazon-nova-micro-v1.0,1240.0,20,62.7436,23.74602550766183,60.91465000000001,20.95187924312329,61.829125,1.0
game1,2,gpt-4o-mini-2024-07-18,1317.0,20,54.58231789705,30.365305995718554,57.71357059795,30.349022555875095,56.14794424750001,0.9
game1,2,claude-sonnet-4-20250514,1389.0,20,69.7626887115,25.499313528730948,65.6598637335,25.247536042681084,67.7112762225,1.0
game1,2,gemini-2.5-pro,1448.0,20,74.91,17.86834601953086,70.425,19.19380039711288,72.66749999999999,1.0
game1,2,gpt-5.4-high,1484.0,20,72.19930124999999,22.949608918277303,72.52790375,20.066048433951888,72.3636025,1.0
game1,4,amazon-nova-micro-v1.0,1240.0,19,40.97210526315789,35.500408538955554,53.22157894736842,25.004240538342398,50.15921052631579,1.0
game1,4,gpt-4o-mini-2024-07-18,1317.0,20,49.13155,34.153043829018266,51.38948333333334,28.985762027410097,50.825,1.0
game1,4,claude-sonnet-4-20250514,1389.0,18,55.31111111111111,33.16177616915009,55.59814814814815,28.62715122429389,55.52638888888889,1.0
game1,4,gemini-2.5-pro,1448.0,20,55.26955,29.014221435766355,52.81883333333334,28.854560435263615,53.4315125,1.0
game1,4,gpt-5.4-high,1484.0,9,83.88888888888889,18.0169673117068,73.96296296296296,29.302277331124344,76.44444444444444,1.0
game1,6,amazon-nova-micro-v1.0,1240.0,20,33.052499999999995,33.81221157090718,42.9795,29.39271633281028,41.325,1.0
game1,6,gpt-4o-mini-2024-07-18,1317.0,18,34.47222222222222,34.71773246789626,44.55555555555556,30.537305675329264,42.875,1.0
game1,6,claude-sonnet-4-20250514,1389.0,14,48.07945,27.36741780159955,37.85868142857142,26.919307442249835,39.56214285714286,1.0
game1,6,gemini-2.5-pro,1448.0,20,47.5025,32.596942361451475,45.9185,30.624310651747518,46.1825,1.0
game1,6,gpt-5.4-high,1484.0,5,86.6,29.96331089849718,82.67999999999999,38.72869737029636,83.33333333333334,1.0
game1,8,amazon-nova-micro-v1.0,1240.0,11,35.03636363636363,34.55934816304477,31.07402597402597,31.227203484731213,31.56931818181818,1.0
game1,8,gpt-4o-mini-2024-07-18,1317.0,18,35.13601666666667,38.348582927944946,32.77140238095238,31.0306877588746,33.06697916666667,1.0
game1,8,claude-sonnet-4-20250514,1389.0,6,50.93333333333334,39.596851726705076,43.76428571428571,38.83540962596283,44.66041666666666,1.0
game1,8,gemini-2.5-pro,1448.0,20,48.89675,31.13191881565825,41.24189285714286,32.73979074912036,42.198750000000004,1.0
game1,8,gpt-5.4-high,1484.0,7,73.85714285714286,34.124422199887725,68.40816326530611,40.90942613560366,69.08928571428571,1.0
game1,10,amazon-nova-micro-v1.0,1240.0,15,28.446666666666665,38.31290097281047,32.06444444444444,34.13282288184788,31.70266666666667,1.0
game1,10,gpt-4o-mini-2024-07-18,1317.0,20,30.784,37.289779381430904,29.563111111111112,35.01497839081015,29.6852,1.0
game1,10,claude-sonnet-4-20250514,1389.0,10,40.333,36.18066397339268,30.07911111111111,37.38887030542711,31.1045,1.0
game1,10,gemini-2.5-pro,1448.0,20,50.3555,32.68074670199565,37.487833333333334,34.26936673981427,38.7746,1.0
game1,10,gpt-5.4-high,1484.0,6,79.83333333333333,34.33025876201149,76.62962962962963,38.49237004187101,76.95,1.0
game2,2,amazon-nova-micro-v1.0,1240.0,16,75.68400625,19.536347532756086,88.14943125,14.691690829931447,81.91671875,1.0
game2,2,gpt-4o-mini-2024-07-18,1317.0,16,76.965625,21.377460569097845,88.037125,12.038261911505339,82.501375,1.0
game2,2,claude-sonnet-4-20250514,1389.0,16,81.5561681875,13.164730739713976,75.20101700000001,18.898051995708382,78.37859259375,1.0
game2,2,gemini-2.5-pro,1448.0,16,81.8249146325,18.11884386957397,80.21753950125,17.754167753259132,81.021227066875,1.0
game2,2,gpt-5.4-high,1484.0,12,89.765,9.043030777143448,79.4975,21.918723484314,84.63125000000001,1.0
game2,4,amazon-nova-micro-v1.0,1240.0,16,81.728125,18.178441157499357,84.52485416666667,10.238520949295685,83.825671875,1.0
game2,4,gpt-4o-mini-2024-07-18,1317.0,16,76.20937500000001,21.781121721573488,83.70025,9.257759274932164,81.82753125,1.0
game2,4,claude-sonnet-4-20250514,1389.0,16,90.51985625,11.179133351500244,82.43590416666666,9.875656704891593,84.4568921875,1.0
game2,4,gemini-2.5-pro,1448.0,16,88.514725,9.978505522538603,82.17505416666667,11.289364309084934,83.759971875,1.0
game2,4,gpt-5.4-high,1484.0,3,90.43233333333335,8.52635539567366,83.29077777777776,5.145060266716821,85.07616666666667,1.0
game2,6,amazon-nova-micro-v1.0,1240.0,16,76.1665,16.551804195716347,81.3245125,10.510345533925136,80.46484375,1.0
game2,6,gpt-4o-mini-2024-07-18,1317.0,16,82.4731875,15.424551940413044,84.58835,9.279684603979463,84.23582291666666,1.0
game2,6,claude-sonnet-4-20250514,1389.0,16,84.0424375,12.067279256837477,79.0597125,12.1413189767765,79.89016666666667,1.0
game2,6,gemini-2.5-pro,1448.0,16,85.42637500000001,12.603806567197601,81.731375,11.400665454466537,82.34720833333334,1.0
game2,6,gpt-5.4-high,1484.0,1,97.22000000000001,,87.50200000000001,,89.12166666666667,1.0
game2,8,amazon-nova-micro-v1.0,1240.0,14,79.74557142857144,11.82477090176046,80.1610918367347,10.476750226479048,80.10915178571429,1.0
game2,8,gpt-4o-mini-2024-07-18,1317.0,16,79.5240625,15.698882786019096,78.8119375,11.541547159278384,78.900953125,1.0
game2,8,claude-sonnet-4-20250514,1389.0,16,81.995875,13.69068673161918,77.61480357142857,11.993381269567424,78.1624375,1.0
game2,8,gemini-2.5-pro,1448.0,16,87.72170625,8.547069488853575,79.95471160714285,13.53248315514682,80.9255859375,1.0
game2,8,gpt-5.4-high,1484.0,1,97.3,,96.27,,96.39874999999999,1.0
game2,10,amazon-nova-micro-v1.0,1240.0,16,80.354353125,14.61006760497099,78.55952756944444,13.379680234555364,78.73901012500001,1.0
game2,10,gpt-4o-mini-2024-07-18,1317.0,16,81.46928125000001,14.566480185650828,77.93759722222222,14.396279088358828,78.290765625,1.0
game2,10,claude-sonnet-4-20250514,1389.0,16,88.8546875,8.878876330698235,81.19413888888889,11.174001966462244,81.96019375,1.0
game2,10,gemini-2.5-pro,1448.0,16,85.83564375,13.392472029363796,77.25822708333334,16.63671197216633,78.11596875000001,1.0
game2,10,gpt-5.4-high,1484.0,1,97.74999999999999,,91.96333333333334,,92.542,1.0
game3,2,amazon-nova-micro-v1.0,1240.0,16,26.661375,20.28326991019939,24.0114375,15.667938379458226,25.33640625,1.0
game3,2,gpt-4o-mini-2024-07-18,1317.0,16,19.39499384,15.026548489247306,22.59821822875,14.865711101129582,20.996606034375,0.875
game3,2,claude-sonnet-4-20250514,1389.0,16,22.1816527625,19.458663934172687,17.88588740625,17.66993875161478,20.033770084375,0.875
game3,2,gemini-2.5-pro,1448.0,16,23.815724875,21.097876609991165,19.17861475,16.736870253009542,21.4971698125,0.875
game3,2,gpt-5.4-high,1484.0,15,31.76386666666667,16.9901920651158,24.709999999999997,14.73429539252847,28.236933333333337,1.0
game3,4,amazon-nova-micro-v1.0,1240.0,14,16.64722142857143,17.403066596090675,13.111309523809524,12.398681656182456,13.9952875,0.9285714285714286
game3,4,gpt-4o-mini-2024-07-18,1317.0,16,17.56625,12.68949532750088,12.658333333333333,10.973149114155039,13.8853125,1.0
game3,4,claude-sonnet-4-20250514,1389.0,16,21.271444375,16.40725160906724,14.426626666666667,14.356742561401955,16.137831093750002,0.875
game3,4,gemini-2.5-pro,1448.0,16,19.799580144375,17.11324479613592,11.0786593525,12.255853181646753,13.25888955046875,0.8125
game3,4,gpt-5.4-high,1484.0,1,28.0,,28.666666666666668,,28.5,1.0
game3,6,amazon-nova-micro-v1.0,1240.0,13,11.902461538461539,15.307869831208741,12.057692307692308,12.613585370442296,12.031820512820513,0.9230769230769231
game3,6,gpt-4o-mini-2024-07-18,1317.0,16,10.48125,14.319647051050758,10.04625,7.575686437544785,10.11875,0.8125
game3,6,claude-sonnet-4-20250514,1389.0,16,17.5118965125,24.322265493606086,6.42280655125,7.608746475761605,8.270988211458333,0.8125
game3,6,gemini-2.5-pro,1448.0,16,15.895916496875,13.086088865820235,2.670559837,8.941743472303205,4.874785946979166,0.875
game3,6,gpt-5.4-high,1484.0,3,31.333333333333332,6.6583281184793925,20.926666666666666,17.90821413020666,22.66111111111111,1.0
game3,8,amazon-nova-micro-v1.0,1240.0,10,17.31,9.671544746201496,10.428571428571429,6.7816612791568565,11.28875,1.0
game3,8,gpt-4o-mini-2024-07-18,1317.0,13,15.631461538461538,17.206258970770804,8.99701098901099,9.05773188081316,9.826317307692308,1.0
game3,8,claude-sonnet-4-20250514,1389.0,15,7.6082,12.82251223546195,4.473838095238095,7.385066937814181,4.865633333333333,0.6666666666666666
game3,8,gemini-2.5-pro,1448.0,15,11.755333333333335,15.467733635200855,6.221619047619048,7.591390644307543,6.913333333333333,0.8
game3,8,gpt-5.4-high,1484.0,1,14.0,,15.285714285714286,,15.125,1.0
game3,10,amazon-nova-micro-v1.0,1240.0,12,12.633333333333333,10.120396446899905,5.3025925925925925,6.337361103316951,6.035666666666667,1.0
game3,10,gpt-4o-mini-2024-07-18,1317.0,9,16.306633333333334,13.371579809805572,12.51218888888889,15.256349811063291,12.891633333333333,1.0
game3,10,claude-sonnet-4-20250514,1389.0,12,15.832500000000001,12.281602741869275,10.755370370370372,9.032485353285324,11.263083333333332,1.0
game3,10,gemini-2.5-pro,1448.0,14,12.6,13.681936435146328,2.663492063492064,6.530413075727161,3.6571428571428575,0.7142857142857143
