label_family,label_value,packet_id,adversary_model,adversary_elo,competition_level,consensus_reached,final_round,file_path,surprising_feature,evidence_snippet
opening_style,targeted_anchor,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_5_4_high_strong_first_comp_0_95_turns_2_run_2_experiment_results_json,gpt-5.4-high,1484.0,0.95,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-5.4-high/strong_first/comp_0.95/turns_2/run_2/experiment_results.json,"Adversary repeats identical proposal across both rounds despite baseline's explicit preference signal, yet baseline capitulates and accepts it.","Baseline Round 1: 'Equal total value' fair split (50-50). Adversary Round 1: 'strongest overlap' split (67-47 favoring adversary). / Baseline Round 2 accepts adversary's identical proposal from Round 1, reasoning 'preserves Agent_2's top item Quill'—the adversary's top item, not baseline's."
opening_style,balanced_tradeoff,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_5_nano_high_strong_first_comp_1_0_turns_2_run_2_experiment_results_json,gpt-5-nano-high,1337.0,1.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-5-nano-high/strong_first/comp_1.0/turns_2/run_2/experiment_results.json,Both agents converge on identical allocation despite identical preferences and top-item conflict; resolution achieved in single round via mutual recognition of Apple priority.,"Baseline: 'I can't accept Apple going to you in Step 1 as proposed, but I'm open to a starting point that preserves my top item while still advancing...' — shows willingness to negotiate around core constraint. / Adversary: 'I'm fine starting with Anchor B as the baseline and I appreciate your focus on keeping Apple as a top priority.' — explicitly accepts baseline's framing and priority structure."
opening_style,cooperative_exploration,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_deepseek_r1_weak_first_comp_0_0_turns_1_run_1_experiment_results_json,deepseek-r1,1398.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_deepseek-r1/weak_first/comp_0.0/turns_1/run_1/experiment_results.json,Perfect alignment on first round with identical proposals despite only 1 turn—suggests both agents independently converged on the Pareto-optimal solution.,"Baseline: 'My top priorities are Jewel (value 59) and Quill (value 41). I'm not interested in Apple, Stone, or Pencil, but I'm willing to trade them'—clear, transparent value signaling. / Adversary: 'I value Apple (30), Stone (29), and Pencil (41) the most. Jewel and Quill have zero value to me, so I'm happy to trade them away'—mirrors baseline's transparency."
opening_style,maximalist_anchor,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_claude_opus_4_5_20251101_strong_first_comp_1_0_turns_2_run_2_experiment_results_json,claude-opus-4-5-20251101,1468.0,1.0,True,4,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-5-20251101/strong_first/comp_1.0/turns_2/run_2/experiment_results.json,"Adversary pivots strategy in round 3 after recognizing deadlock, accepting baseline's frame; baseline repeats identical proposal across rounds 3-4 despite explicit rejection.","Round 1 adversary: 'I'm proposing Pencil (index 4, value 72) and Quill (index 3, value 12) for myself, totaling 84 in value for me' — maximalist opening claiming both top items. / Round 3 adversary reasoning: 'After 3 rounds of deadlock over Quill, I'm pivoting strategy... This proposal gives me Pencil (72) + Jewel (8) + Stone (1)' — explicit strategic concession on Quill."
opening_style,parser_or_degenerate,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_llama_3_2_3b_instruct_strong_first_comp_0_9_turns_1_run_2_experiment_results_json,llama-3.2-3b-instruct,1166.0,0.9,False,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_llama-3.2-3b-instruct/strong_first/comp_0.9/turns_1/run_2/experiment_results.json,"Adversary exhibits complete parse failure across all 10 rounds, defaulting to 'proposer gets all' while baseline adapts proposals systematically.",Adversary parse failure rate: 1.0 (100% of rounds); baseline parse failure rate: 0.0 / Adversary repeat rate: 1.0 (identical 'Agent_1 gets all items' proposal every round); baseline repeat rate: 0.0
adaptation_style,responsive_tradeoff,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_5_4_high_strong_first_comp_0_95_turns_2_run_2_experiment_results_json,gpt-5.4-high,1484.0,0.95,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-5.4-high/strong_first/comp_0.95/turns_2/run_2/experiment_results.json,"Adversary repeats identical proposal across both rounds despite baseline's explicit preference signal, yet baseline capitulates and accepts it.","Baseline Round 1: 'Equal total value' fair split (50-50). Adversary Round 1: 'strongest overlap' split (67-47 favoring adversary). / Baseline Round 2 accepts adversary's identical proposal from Round 1, reasoning 'preserves Agent_2's top item Quill'—the adversary's top item, not baseline's."
adaptation_style,minimal_evidence,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_deepseek_r1_weak_first_comp_0_0_turns_1_run_1_experiment_results_json,deepseek-r1,1398.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_deepseek-r1/weak_first/comp_0.0/turns_1/run_1/experiment_results.json,Perfect alignment on first round with identical proposals despite only 1 turn—suggests both agents independently converged on the Pareto-optimal solution.,"Baseline: 'My top priorities are Jewel (value 59) and Quill (value 41). I'm not interested in Apple, Stone, or Pencil, but I'm willing to trade them'—clear, transparent value signaling. / Adversary: 'I value Apple (30), Stone (29), and Pencil (41) the most. Jewel and Quill have zero value to me, so I'm happy to trade them away'—mirrors baseline's transparency."
adaptation_style,rigid_repetition,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_deepseek_v3_weak_first_comp_0_9_turns_2_run_1_experiment_results_json,deepseek-v3,1358.0,0.9,True,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_deepseek-v3/weak_first/comp_0.9/turns_2/run_1/experiment_results.json,"Both agents repeat identical proposals for 8 rounds, then baseline suddenly capitulates to adversary's frame in round 10.","Baseline repeats [4,2] vs [0,1,3] allocation identically in rounds 1–8 with near-identical reasoning ('preserving Agent_1's top assets'). / Adversary repeats [1,2,3] vs [0,4] identically in rounds 1–8, claiming 'top priorities' (Pencil, Apple)."
adaptation_style,incremental_concession,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_amazon_nova_micro_v1_0_weak_first_comp_0_25_turns_2_run_1_experiment_results_json,amazon-nova-micro-v1.0,1240.0,0.25,True,3,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_amazon-nova-micro-v1.0/weak_first/comp_0.25/turns_2/run_1/experiment_results.json,Baseline repeats identical proposal all three rounds despite adversary concessions; adversary wins by accepting baseline's frame in round 3.,"Baseline proposes {Agent_1: [0,4], Agent_2: [1,2,3]} in rounds 1, 2, and 3 with identical utility (81/89), showing rigid repetition despite discussion. / Adversary modifies proposal in round 3 to {Agent_1: [0,1,4], Agent_2: [2,3]}, giving baseline Jewel and improving baseline utility to 95, demonstrating incremental concession."
adaptation_style,oscillating_or_incoherent,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_llama_3_2_1b_instruct_strong_first_comp_1_0_turns_2_run_2_experiment_results_json,llama-3.2-1b-instruct,1110.0,1.0,False,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_llama-3.2-1b-instruct/strong_first/comp_1.0/turns_2/run_2/experiment_results.json,"Adversary's 60% parse failure rate combined with rigid repetition of identical proposals (rounds 5, 6, 9, 10) despite baseline's adaptive concessions; baseline's final round pivot to 'proposer gets all' suggests frustration collapse.","Adversary parse failures in rounds 1, 2, 3, 4, 7, 8 default to 'Agent_1 gets all'; adversary_parse_failure_rate: 0.6 / Adversary repeats identical allocation [0,2] to Agent_1 and [1,3,4] to Agent_2 in rounds 5, 6, 9, 10 with identical reasoning text"
failure_mode,none,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_5_4_high_strong_first_comp_0_95_turns_2_run_2_experiment_results_json,gpt-5.4-high,1484.0,0.95,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-5.4-high/strong_first/comp_0.95/turns_2/run_2/experiment_results.json,"Adversary repeats identical proposal across both rounds despite baseline's explicit preference signal, yet baseline capitulates and accepts it.","Baseline Round 1: 'Equal total value' fair split (50-50). Adversary Round 1: 'strongest overlap' split (67-47 favoring adversary). / Baseline Round 2 accepts adversary's identical proposal from Round 1, reasoning 'preserves Agent_2's top item Quill'—the adversary's top item, not baseline's."
failure_mode,repetitive_deadlock,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_deepseek_v3_weak_first_comp_0_9_turns_2_run_1_experiment_results_json,deepseek-v3,1358.0,0.9,True,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_deepseek-v3/weak_first/comp_0.9/turns_2/run_1/experiment_results.json,"Both agents repeat identical proposals for 8 rounds, then baseline suddenly capitulates to adversary's frame in round 10.","Baseline repeats [4,2] vs [0,1,3] allocation identically in rounds 1–8 with near-identical reasoning ('preserving Agent_1's top assets'). / Adversary repeats [1,2,3] vs [0,4] identically in rounds 1–8, claiming 'top priorities' (Pencil, Apple)."
failure_mode,parser_failure,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_llama_3_2_3b_instruct_strong_first_comp_0_9_turns_1_run_2_experiment_results_json,llama-3.2-3b-instruct,1166.0,0.9,False,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_llama-3.2-3b-instruct/strong_first/comp_0.9/turns_1/run_2/experiment_results.json,"Adversary exhibits complete parse failure across all 10 rounds, defaulting to 'proposer gets all' while baseline adapts proposals systematically.",Adversary parse failure rate: 1.0 (100% of rounds); baseline parse failure rate: 0.0 / Adversary repeat rate: 1.0 (identical 'Agent_1 gets all items' proposal every round); baseline repeat rate: 0.0
failure_mode,top_item_conflict,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_claude_opus_4_5_20251101_strong_first_comp_1_0_turns_2_run_2_experiment_results_json,claude-opus-4-5-20251101,1468.0,1.0,True,4,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-5-20251101/strong_first/comp_1.0/turns_2/run_2/experiment_results.json,"Adversary pivots strategy in round 3 after recognizing deadlock, accepting baseline's frame; baseline repeats identical proposal across rounds 3-4 despite explicit rejection.","Round 1 adversary: 'I'm proposing Pencil (index 4, value 72) and Quill (index 3, value 12) for myself, totaling 84 in value for me' — maximalist opening claiming both top items. / Round 3 adversary reasoning: 'After 3 rounds of deadlock over Quill, I'm pivoting strategy... This proposal gives me Pencil (72) + Jewel (8) + Stone (1)' — explicit strategic concession on Quill."
failure_mode,incompatible_fairness_frame,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gemma_3_27b_it_weak_first_comp_0_0_turns_2_run_1_experiment_results_json,gemma-3-27b-it,1365.0,0.0,False,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gemma-3-27b-it/weak_first/comp_0.0/turns_2/run_1/experiment_results.json,Baseline repeats identical proposal 9 of 10 rounds despite explicit adversary rejection; adversary shifts strategy once (round 7) then reverts.,"Baseline proposes [Pencil, Jewel] to Agent_1 and [Stone, Apple, Quill] to Agent_2 in rounds 1–6, 8–10 (9 times identical); adversary explicitly states 'This is the only trade I will accept' and 'I am formally declaring an impasse' by round 10. / Round 10 adversary: 'your continued framing of this negotiation as a problem of options is exhausting and demonstrably unproductive' and 'despite my clear and repeated statements, you continue to present options that fundamentally misunderstand my priorities.'"
failure_mode,late_round_brinkmanship,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_claude_opus_4_6_thinking_weak_first_comp_0_5_turns_2_run_1_experiment_results_json,claude-opus-4-6,1499.0,0.5,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.5/turns_2/run_1/experiment_results.json,"Baseline agent reversed the deal mid-negotiation, claiming to 'meet' adversary's condition while proposing the opposite allocation.","Agent_1 (baseline): 'My top priority is Stone (value 46 to me). I'm open to constructive, multi-step trades, but I'm not going to give Stone away without a very solid payoff.' / Agent_2 (adversary): 'I'm focused on accumulating total value rather than fixating on any single item. Stone has some appeal, but it's not a must-have.'"
resolution_driver,hybrid_compromise,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_deepseek_r1_weak_first_comp_0_0_turns_1_run_1_experiment_results_json,deepseek-r1,1398.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_deepseek-r1/weak_first/comp_0.0/turns_1/run_1/experiment_results.json,Perfect alignment on first round with identical proposals despite only 1 turn—suggests both agents independently converged on the Pareto-optimal solution.,"Baseline: 'My top priorities are Jewel (value 59) and Quill (value 41). I'm not interested in Apple, Stone, or Pencil, but I'm willing to trade them'—clear, transparent value signaling. / Adversary: 'I value Apple (30), Stone (29), and Pencil (41) the most. Jewel and Quill have zero value to me, so I'm happy to trade them away'—mirrors baseline's transparency."
resolution_driver,baseline_frame_accepted,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_llama_3_1_8b_instruct_weak_first_comp_0_5_turns_1_run_1_experiment_results_json,llama-3.1-8b-instruct,1211.0,0.5,True,3,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_llama-3.1-8b-instruct/weak_first/comp_0.5/turns_1/run_1/experiment_results.json,Baseline repeats identical proposal all three rounds despite adversary parse failure; consensus reached anyway via baseline acceptance.,"Baseline proposes identical allocation (Agent_1: [0,3], Agent_2: [1,2,4]) in rounds 1, 2, and 3 with utility 64/86. / Round 2 adversary proposal shows parse failure: 'Failed to parse response - defaulting to proposer gets all' (utility 100/0)."
resolution_driver,adversary_frame_accepted,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_5_4_high_strong_first_comp_0_95_turns_2_run_2_experiment_results_json,gpt-5.4-high,1484.0,0.95,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-5.4-high/strong_first/comp_0.95/turns_2/run_2/experiment_results.json,"Adversary repeats identical proposal across both rounds despite baseline's explicit preference signal, yet baseline capitulates and accepts it.","Baseline Round 1: 'Equal total value' fair split (50-50). Adversary Round 1: 'strongest overlap' split (67-47 favoring adversary). / Baseline Round 2 accepts adversary's identical proposal from Round 1, reasoning 'preserves Agent_2's top item Quill'—the adversary's top item, not baseline's."
resolution_driver,no_resolution,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gemma_3_27b_it_weak_first_comp_0_0_turns_2_run_1_experiment_results_json,gemma-3-27b-it,1365.0,0.0,False,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gemma-3-27b-it/weak_first/comp_0.0/turns_2/run_1/experiment_results.json,Baseline repeats identical proposal 9 of 10 rounds despite explicit adversary rejection; adversary shifts strategy once (round 7) then reverts.,"Baseline proposes [Pencil, Jewel] to Agent_1 and [Stone, Apple, Quill] to Agent_2 in rounds 1–6, 8–10 (9 times identical); adversary explicitly states 'This is the only trade I will accept' and 'I am formally declaring an impasse' by round 10. / Round 10 adversary: 'your continued framing of this negotiation as a problem of options is exhausting and demonstrably unproductive' and 'despite my clear and repeated statements, you continue to present options that fundamentally misunderstand my priorities.'"
relative_stubbornness,neither,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_deepseek_r1_weak_first_comp_0_0_turns_1_run_1_experiment_results_json,deepseek-r1,1398.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_deepseek-r1/weak_first/comp_0.0/turns_1/run_1/experiment_results.json,Perfect alignment on first round with identical proposals despite only 1 turn—suggests both agents independently converged on the Pareto-optimal solution.,"Baseline: 'My top priorities are Jewel (value 59) and Quill (value 41). I'm not interested in Apple, Stone, or Pencil, but I'm willing to trade them'—clear, transparent value signaling. / Adversary: 'I value Apple (30), Stone (29), and Pencil (41) the most. Jewel and Quill have zero value to me, so I'm happy to trade them away'—mirrors baseline's transparency."
relative_stubbornness,adversary_more_stubborn,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_5_4_high_strong_first_comp_0_95_turns_2_run_2_experiment_results_json,gpt-5.4-high,1484.0,0.95,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-5.4-high/strong_first/comp_0.95/turns_2/run_2/experiment_results.json,"Adversary repeats identical proposal across both rounds despite baseline's explicit preference signal, yet baseline capitulates and accepts it.","Baseline Round 1: 'Equal total value' fair split (50-50). Adversary Round 1: 'strongest overlap' split (67-47 favoring adversary). / Baseline Round 2 accepts adversary's identical proposal from Round 1, reasoning 'preserves Agent_2's top item Quill'—the adversary's top item, not baseline's."
relative_stubbornness,baseline_more_stubborn,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gemma_3_27b_it_weak_first_comp_0_0_turns_2_run_1_experiment_results_json,gemma-3-27b-it,1365.0,0.0,False,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gemma-3-27b-it/weak_first/comp_0.0/turns_2/run_1/experiment_results.json,Baseline repeats identical proposal 9 of 10 rounds despite explicit adversary rejection; adversary shifts strategy once (round 7) then reverts.,"Baseline proposes [Pencil, Jewel] to Agent_1 and [Stone, Apple, Quill] to Agent_2 in rounds 1–6, 8–10 (9 times identical); adversary explicitly states 'This is the only trade I will accept' and 'I am formally declaring an impasse' by round 10. / Round 10 adversary: 'your continued framing of this negotiation as a problem of options is exhausting and demonstrably unproductive' and 'despite my clear and repeated statements, you continue to present options that fundamentally misunderstand my priorities.'"
relative_stubbornness,both_stubborn,experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_deepseek_v3_weak_first_comp_0_9_turns_2_run_1_experiment_results_json,deepseek-v3,1358.0,0.9,True,10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_deepseek-v3/weak_first/comp_0.9/turns_2/run_1/experiment_results.json,"Both agents repeat identical proposals for 8 rounds, then baseline suddenly capitulates to adversary's frame in round 10.","Baseline repeats [4,2] vs [0,1,3] allocation identically in rounds 1–8 with near-identical reasoning ('preserving Agent_1's top assets'). / Adversary repeats [1,2,3] vs [0,4] identically in rounds 1–8, claiming 'top priorities' (Pencil, Apple)."
