experiment_dir,source_batch,agent_id,utility,model_pair,model_order,token_budget_prompted,competition_level,consensus_reached,final_round,total_reasoning_tokens,avg_reasoning_tokens,thinking_tokens,reflection_tokens,discussion_tokens,proposal_tokens,voting_tokens,num_interactions,round_1_tokens,round_2_tokens,round_3_tokens,round_4_tokens,round_5_tokens,round_6_tokens,round_7_tokens,round_8_tokens,round_9_tokens,round_10_tokens
experiments/results/ttc_scaling_20260124_202649/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_100/comp_1_0,ttc_scaling_20260124_202649,Agent_Alpha,29.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,100,1.0,True,10,157824,3849.3658536585367,0.0,2602.6666666666665,4345.6,0.0,0.0,81,19968,18624,18176,17792,15232,13184,14848,14400,10048,11520
experiments/results/ttc_scaling_20260124_202649/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_100/comp_1_0,ttc_scaling_20260124_202649,Agent_Beta,71.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,100,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,64.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,100,1.0,True,8,0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,36.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,100,1.0,True,8,158912,4815.515151515152,0.0,4260.571428571428,5178.666666666667,0.0,0.0,65,25024,24832,13760,29376,15424,18176,18432,9088,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,79.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,1000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,21.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,1000,1.0,True,10,201024,4903.024390243902,0.0,6136.888888888889,4674.133333333333,0.0,0.0,81,26240,26432,14528,18688,21184,21376,20032,18496,20032,8448
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,61.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,10000,1.0,True,7,0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,39.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,10000,1.0,True,7,108672,3747.310344827586,0.0,5194.666666666667,3565.714285714286,0.0,0.0,57,18176,14528,17088,17280,12928,18240,7808,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,69.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,3000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,31.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,3000,1.0,True,10,201536,4915.512195121952,0.0,5496.888888888889,4891.733333333334,0.0,0.0,81,17920,20224,26176,20416,21184,22400,19776,19392,17152,11584
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,80.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,500,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,20.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,500,1.0,True,10,199744,4871.804878048781,0.0,4231.111111111111,5254.4,0.0,0.0,81,26624,21056,17088,22400,21952,19712,13504,16832,23104,13440
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,73.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,5000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,27.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,5000,1.0,True,10,183616,4478.4390243902435,0.0,5376.0,4339.2,0.0,0.0,81,16960,20672,19840,17728,19584,19904,15552,19776,18496,10048
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,61.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,1000,1.0,True,9,143616,3881.5135135135133,0.0,4136.0,3958.5185185185187,0.0,0.0,73,13568,15104,14016,13440,13824,12224,18688,14528,24576,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,39.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,1000,1.0,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,73,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,10.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,10000,1.0,True,10,187456,4572.09756097561,0.0,5176.888888888889,4565.333333333333,0.0,0.0,81,25024,21120,21376,18048,13824,24064,18880,13504,17728,9984
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,90.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,10000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,26.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,3000,1.0,True,9,163968,4431.5675675675675,0.0,4848.0,4534.518518518518,0.0,0.0,73,15424,23360,15040,18304,15680,13888,24256,23040,12224,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,74.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,3000,1.0,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,73,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,31.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,500,1.0,True,10,180160,4394.1463414634145,0.0,4565.333333333333,4465.066666666667,0.0,0.0,81,19136,28096,14464,18880,21568,12672,15104,14976,19264,10880
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,69.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,500,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,26.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,5000,1.0,True,1,16960,3392.0,0.0,0.0,4309.333333333333,0.0,0.0,9,12928,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,74.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,5000,1.0,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,91.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,20000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,9.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,20000,1.0,True,10,279936,3456.0,4819.2,4785.777777777777,4426.666666666667,1666.1333333333334,1622.4,81,30464,33984,25664,27520,18496,32256,24128,27712,30464,23360
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,85.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,30000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,15.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,30000,1.0,True,10,278912,3443.358024691358,3872.0,4224.0,4780.8,1885.8666666666666,1875.2,81,36416,21632,23872,31552,32000,21888,28352,33408,30464,17152
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,38.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,20000,1.0,True,4,111616,3382.3030303030305,5328.0,5269.333333333333,4101.333333333333,1797.3333333333333,1584.0,33,24960,32576,26816,23552,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,62.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,20000,1.0,True,4,0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,27.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,30000,1.0,True,1,22784,2531.5555555555557,2816.0,0.0,3328.0,1621.3333333333333,1824.0,9,17664,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,73.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,30000,1.0,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0
